937,466,484,646,573,447,134,791,757,75,106,637,971,708,816,470,772,374,199,76,159,701,541,485,410,202,779,502,109,566,880,993,478,112,381,979,801,143,81,325,504,464,98,167,550,268,233,678,353,776
742,30,961,622,17,380,291,176,832,377,487,916,880,392,99,83,910,962,125,303,550,417,286,578,857,650,346,682,131,833,823,25,502,324,741,872,579,834,963,815,827,921,118,448,729,569,326,403,475,936
149,413,931,829,226,697,182,989,18,761,246,906,666,918,509,834,119,858,953,485,886,359,122,721,250,176,842,796,217,971,230,922,320,714,670,349,27,370,317,516,450,425,38,689,413,393,813,5,427,660
381,703,364,33,206,720,494,268,292,244,38,358,414,774,441,378,795,349,456,475,595,437,858,154,981,541,354,553,646,880,552,360,326,408,876,306,423,446,735,871,258,624,617,567,681,127,592,770,199,49
7,285,210,724,141,81,143,143,424,352,265,60,908,672,397,10,808,725,286,55,149,749,86,749,87,938,486,252,831,530,268,264,585,413,957,887,274,547,276,253,962,127,767,586,222,702,86,619,411,774
596,946,990,922,224,208,782,973,958,129,92,986,422,897,852,32,446,163,273,758,20,790,949,836,371,46,968,965,120,993,671,817,159,100,925,227,981,751,824,47,520,794,395,933,368,446,148,186,15,794
87,823,239,877,922,351,488,664,521,555,436,444,810,286,397,871,981,509,650,938,11,467,227,223,92,133,123,102,920,733,695,18,924,688,746,676,672,720,555,835,904,258,73,950,883,42,263,153,598,289
192,157,315,723,202,261,749,862,386,856,855,250,594,268,157,105,239,440,998,300,159,205,536,544,232,861,373,28,231,336,69,746,986,583,461,636,532,408,791,819,348,266,285,428,528,560,474,465,510,855
462,468,94,832,411,992,720,814,357,645,312,117,832,917,209,488,993,446,342,376,118,348,198,946,752,6,14,18,741,209,365,128,603,184,933,120,364,493,264,708,646,663,347,270,512,483,33,321,638,130
935,458,126,5,419,901,460,865,49,973,470,289,799,736,736,233,812,386,542,561,299,945,169,987,636,433,305,251,125,875,921,761,773,315,773,607,462,24,482,51,349,59,172,57,892,868,527,606,955,837
349,377,256,842,26,807,984,522,875,32,905,704,145,324,435,207,542,283,954,851,455,393,1,998,489,462,51,313,621,72,901,812,710,890,46,488,720,416,290,489,702,998,736,455,467,913,219,827,606,206
313,862,727,764,438,324,821,335,594,682,720,563,318,401,710,940,501,475,698,318,310,83,22,865,869,17,900,513,236,355,265,759,83,463,960,420,823,623,785,0,164,795,727,534,979,108,560,387,899,78
944,419,961,657,978,187,647,764,698,226,256,260,116,987,100,790,205,740,841,551,372,404,29,882,57,784,439,577,403,217,295,175,390,81,168,614,281,881,826,685,49,185,79,597,239,475,322,183,76,594
750,463,33,407,376,373,495,469,812,959,803,222,221,244,504,607,668,790,265,411,589,390,639,799,693,645,788,468,101,732,67,226,772,999,220,162,560,94,146,583,461,30,357,908,331,591,626,988,437,280
616,902,113,989,867,557,992,893,476,880,793,190,139,308,528,46,475,616,186,551,150,105,828,399,356,419,966,628,722,276,216,552,782,871,824,819,417,75,35,607,772,799,486,181,938,345,264,466,889,389
634,324,769,728,892,784,102,446,502,99,756,711,519,124,689,740,694,760,568,451,843,130,120,660,72,616,885,242,967,187,853,137,967,694,477,236,76,380,578,514,273,598,289,693,690,838,848,729,759,661
538,378,921,359,539,216,696,973,364,72,194,539,769,426,830,297,390,667,438,287,449,231,658,235,525,276,408,283,304,741,700,770,647,307,415,33,429,246,51,747,693,32,57,187,266,427,654,280,92,548
